id,name
37141,The Babysitter
9382,Boys on the Side
6715,The Cure
18256,Castle Freak
22625,Circle of Friends
2292,Clerks
1909,Don Juan DeMarco
8984,Disclosure
4954,Drop Zone
62488,Destiny Turns on the Radio
10531,Death and the Maiden
11929,Dolores Claiborne
8467,Dumb and Dumber
10451,Eat Drink Man Woman
20156,Exotica
18395,Exit to Eden
522,Ed Wood
397,French Kiss
10525,Forget Paris
27985,Far from Home: The Adventures of Yellow Dog
15789,A Goofy Movie
27303,Hideaway
21183,Fluke
10954,Farinelli
47867,Gordy
14275,Hoop Dreams
1024,Heavenly Creatures
17207,Houseguest
13701,Immortal Beloved
14819,Heavyweights
32631,The Hunted
11777,I.Q.
628,Interview with the Vampire
87729,Jefferson in Paris
18713,The Jerky Boys
6280,Junior
9061,Just Cause
37108,A Kid in King Arthur's Court
6071,Kiss of Death
11,Star Wars
9587,Little Women
19101,A Little Princess
49980,Ladybird Ladybird
18183,Like Water for Chocolate
4476,Legends of the Fall
11008,Major Payne
32325,Mi Vida Loca
43742,Love Affair
28313,Losing Isaiah
11318,The Madness of King George
3036,Mary Shelley's Frankenstein
40490,Man of the House
24070,Mixed Nuts
8986,Milk Money
10510,Miracle on 34th Street
17402,Miami Rhapsody
38722,My Family
8438,Murder in the First
11593,Nobody's Fool
1945,Nell
39310,New Jersey Drive
109560,New York Cop
56428,Beyond Bedlam
131957,Nina Takes a Lover
241,Natural Born Killers
9058,Only You
527,Once Were Warriors
18220,Poison Ivy 2: Lily
6950,Outbreak
101,Léon: The Professional
63020,The Perez Family
2307,A Pyromaniac's Love Story
680,Pulp Fiction
25296,Pushing Hands
40156,Priest
11450,Quiz Show
30304,Picture Bride
10452,Queen Margot
12106,The Quick and the Dead
161495,Roommates
3586,Ready to Wear
110,Three Colors: Red
108,Three Colors: Blue
109,Three Colors: White
36357,Rent-a-Kid
92769,Relative Fear
28033,Stuart Saves His Family
22586,The Swan Princess
14334,The Secret of Roan Inish
2636,The Specialist
2164,Stargate
11395,The Santa Clause
278,The Shawshank Redemption
9905,Shallow Grave
87078,Suture
12527,Strawberry and Chocolate
20306,Swimming with Sharks
36614,The Sum of Us
27993,Senior Trip
31439,To Live
9067,Tank Girl
9059,Tales from the Crypt: Demon Knight
193,Star Trek: Generations
25066,Tales from the Hood
46797,Tom & Viv
12122,Village of the Damned
11381,Tommy Boy
32636,Vanya on 42nd Street
36141,The Underneath
95963,The Walking Dead
1587,What's Eating Gilbert Grape
9271,Virtuosity
2064,While You Were Sleeping
19855,The War
60855,Double Happiness
236,Muriel's Wedding
48287,The Baby-Sitters Club
3049,Ace Ventura: Pet Detective
2759,"The Adventures of Priscilla, Queen of the Desert"
12635,Backbeat
10497,Bitter Moon
11382,Bullets Over Broadway
9331,Clear and Present Danger
10731,The Client
10464,"Corrina, Corrina"
34152,Crooklyn
9495,The Crow
29973,Cobb
888,The Flintstones
13,Forrest Gump
712,Four Weddings and a Funeral
16295,Higher Learning
48992,I Like It Like That
10879,I Love Trouble
10660,It Could Happen to You
10714,The Jungle Book
41647,"The Wonderful, Horrible Life of Leni Riefenstahl"
8587,The Lion King
1689,Little Buddha
11596,New Nightmare
854,The Mask
9359,Maverick
23333,Mrs. Parker and the Vicious Circle
36593,Naked Gun 33⅓: The Final Insult
12280,The Paper
2788,Reality Bites
10427,Red Rock West
11011,Ri¢hie Ri¢h
8987,The River Wild
1637,Speed
15128,Speechless
8831,Timecop
36955,True Lies
10449,When a Man Loves a Woman
10395,Wolf
12160,Wyatt Earp
40480,Bad Company
52038,A Man of No Importance
29444,S.F.W.
26352,A Low Down Dirty Shame
39953,Boys Life
41580,Colonel Chabert
315,"Faster, Pussycat! Kill! Kill!"
22067,Jason's Lyric
11667,Street Fighter
8011,Highlander III: The Sorcerer
171857,Federal Hill
2654,In the Mouth of Madness
18069,8 Seconds
19092,Above the Rim
2758,Addams Family Values
10436,The Age of Innocence
13595,Airheads
46094,The Air Up There
9409,Another Stakeout
11853,Bad Girls
16771,Barcelona
46924,Being Human
11041,The Beverly Hillbillies
306,Beverly Hills Cop III
14522,Black Beauty
26203,Blink
178,Blown Away
19819,Blue Chips
57834,Blue Sky
4722,Body Snatchers
18215,Boxing Helena
1607,A Bronx Tale
26391,Cabin Boy
117553,Calendar Girl
6075,Carlito's Way
11310,City Slickers II: The Legend of Curly's Gold
18658,Clean Slate
9350,Cliffhanger
9612,Coneheads
2124,Color of Night
26261,Cops & Robbersons
19176,The Cowboy Way
11566,Dave
9571,Dazed and Confused
9739,Demolition Man
34444,Even Cowgirls Get the Blues
26141,Fatal Instinct
10997,Farewell My Concubine
10443,Fearless
20239,Fear of a Black Hat
16297,With Honors
18551,Flesh and Bone
25440,Widows' Peak
9024,For Love or Money
37233,The Firm
1634,Free Willy
13815,Fresh
5503,The Fugitive
35588,Geronimo: An American Legend
2087,The Getaway
41579,Getting Even with Dad
18620,Go Fish
2019,Hard Target
9255,Hot Shots! Part Deux
26271,Live Nude Girls
10612,The Englishman Who Went Up a Hill But Came Down a Mountain
2259,The House of the Spirits
16097,House Party 3
11934,The Hudsucker Proxy
106143,I'll Do Anything
12475,In the Army Now
9386,In the Line of Fire
7984,In the Name of the Father
59930,The Inkwell
15765,What's Love Got to Do with It
31643,Jimmy Hollywood
6,Judgment Night
329,Jurassic Park
10909,Kalifornia
507,Killing Zoe
29918,Lassie
9593,Last Action Hero
42580,Life with Mikey
22317,Lightning Jack
1413,M. Butterfly
12121,Made in America
2246,Malice
10502,The Man Without a Face
10440,Manhattan Murder Mystery
9516,Menace II Society
2320,Executive Decision
5879,In the Realm of the Senses
83718,What Happened Was...
11971,Much Ado About Nothing
31911,Mr. Wonderful
788,Mrs. Doubtfire
21450,Naked
11231,The Next Karate Kid
10447,No Escape
31586,North
9300,Orlando
9559,A Perfect World
9800,Philadelphia
713,The Piano
8291,Poetic Justice
18133,The Program
25557,The Puppet Masters
22588,Radioland Murders
10872,The Ref
1245,The Remains of the Day
11858,Renaissance Man
7007,Rising Sun
10467,The Road to Wellville
5550,RoboCop 3
8005,Robin Hood: Men in Tights
2088,Romeo Is Bleeding
10412,Romper Stomper
47889,Ruby in Paradise
14534,Rudy
41878,Savage Nights
424,Schindler's List
35233,The Scout
14291,Searching for Bobby Fischer
11236,The Secret Garden
11592,Serial Mom
8850,The Shadow
10445,Shadowlands
695,Short Cuts
43535,A Simple Twist of Fate
12519,Sirens
23210,Six Degrees of Separation
858,Sleepless in Seattle
867,Sliver
78,Blade Runner
13203,Son in Law
10442,So I Married an Axe Murderer
11074,Striking Distance
9607,Super Mario Bros.
17585,Surviving the Game
9057,Terminal Velocity
20967,Thirty Two Short Films About Glenn Gould
10635,Threesome
9479,The Nightmare Before Christmas
10057,The Three Musketeers
11969,Tombstone
319,True Romance
26408,The War Room
15139,The Pagemaster
11446,Welcome to the Dollhouse
51980,Germinal
24405,Chasers
8223,Kika
14587,Bhaji on the Beach
31504,Little Big League
23637,"Ciao, Professore!"
17600,Spanking the Monkey
10897,The Little Rascals
21352,Andre
68806,The Escort
37345,Princess Caraboo
32562,The Celluloid Closet
25403,Caro diario
9066,The Brady Bunch Movie
771,Home Alone
251,Ghost
812,Aladdin
280,Terminator 2: Judgment Day
581,Dances with Wolves
268,Batman
274,The Silence of the Lambs
408,Snow White and the Seven Dwarfs
10020,Beauty and the Beast
10895,Pinocchio
114,Pretty Woman
576,The Wild Bunch
15477,Love and a .45
124472,A Great Day in Harlem
7300,One Fine Day
10824,Candyman: Farewell to the Flesh
275,Fargo
25059,Homeward Bound II: Lost in San Francisco
11827,Heavy Metal
8766,Hellraiser: Bloodline
23570,The Pallbearer
47333,Jane Eyre
51242,Bread and Chocolate
10112,The Aristocats
4307,The Flower of My Secret
46029,Two Much
32308,Ed
28121,A Thin Line Between Love and Hate
12520,The Last Supper
1592,Primal Fear
19042,All Dogs Go to Heaven 2
38884,Land and Freedom
47449,Denise Calls Up
36259,Theodore Rex
41852,A Family Thing
40926,Frisk
9099,Sgt. Bilko
2021,Jack & Sarah
61752,Girl 6
10988,Diabolique
12652,Nelly and Monsieur Arnaud
10684,Courage Under Fire
954,Mission: Impossible
68445,Cold Fever
18989,Moll Flanders
8840,DragonHeart
11107,Eddie
10539,James and the Giant Peach
10543,Fear
18414,Kids in the Hall: Brain Candy
11902,Underground
25087,Bloodsport II
5801,Pather Panchali
896,The World of Apu
3065,Mystery Science Theater 3000: The Movie
2300,Space Jam
8069,Barbarella
27768,Some Folks Call It a Sling Blade
221917,The Run of the Country
8072,Alphaville
33245,It's My Party
27281,Operation Dumbo Drop
40001,Mrs. Winterbourne
29621,Solo
20762,The Substitute
37144,True Crime
12656,Feeling Minnesota
38867,Delta of Venus
25969,Angus
43634,Boys
9103,The Quest
29649,Sunset Park
10990,Mulholland Falls
8866,The Truth About Cats & Dogs
12233,Oliver & Company
23449,Celtic Pride
36355,Flipper
922,Dead Man
11876,The Horseman on the Roof
11687,The Visitors
9304,Multiplicity
503475,Wallace & Gromit: The Best of Aardman Animation
73183,"The Haunted World of Edward D. Wood, Jr."
9100,The Craft
20759,The Great White Hype
46063,Last Dance
32513,Cold Comfort Farm
36915,Heaven's Prisoners
9802,The Rock
21588,Cemetery Man
664,Twister
11867,Barb Wire
9323,Ghost in the Shell
10280,Thinner
10535,Spy Hard
532,A Close Shave
16299,The Stupids
10547,The Arrival
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
40751,Ashes of Time
85778,Maya Lin: A Strong Clear Vision
11101,Stalingrad
9826,The Phantom
9879,Striptease
22621,Heavy
7095,Jack
26890,I Shot Andy Warhol
77771,Touki Bouki
41225,Spirits of the Dead
627,Trainspotting
32872,Til There Was You
602,Independence Day
14553,Stealing Beauty
9566,The Fan
10545,The Hunchback of Notre Dame
9894,The Cable Guy
11543,Kingpin
9268,Eraser
9327,The Nutty Professor
81949,An Unforgettable Summer
44535,Somebody to Love
11228,Daylight
10779,The Frighteners
26748,Lone Star
38223,Harriet the Spy
9294,Phenomenon
49963,Walking and Talking
11363,She's the One
1645,A Time to Kill
31546,American Buffalo
36344,Alaska
18550,Fled
11511,Kazaam
34170,Larger Than Life
12606,A Very Brady Sequel
4837,La Collectionneuse
12632,Kaspar Hauser
18975,The Adventures of Pinocchio
11962,Joe's Apartment
2925,The First Wives Club
3595,Ransom
9308,High School High
18555,Foxfire
12123,Chain Reaction
10830,Matilda
3573,Emma
10546,The Crow: City of Angels
18862,House Arrest
31417,Eyes Without a Face
9431,Bordello of Blood
47907,The Spitfire Grill
10061,Escape from L.A.
549,Basquiat
10478,Tin Cup
238,The Godfather
11134,Police Story 3: Super Cop
9303,Bound
23945,Carpool
22479,Kansas City
9054,Gone Fishin'
410921,Nothing to Lose
38955,Supercop 2
11015,The Relic
9306,The Island of Dr. Moreau
12559,First Kid
58770,The Trigger Effect
3587,Bogus
10723,Bulletproof
19004,The Land Before Time III: The Time of the Great Giving
101230,1-900
10987,Halloween: The Curse of Michael Myers
44705,Twelfth Night
20318,Mother Night
26933,Wild Reeds
27854,For Whom the Bell Tolls
981,The Philadelphia Story
872,Singin' in the Rain
2769,An American in Paris
13320,Funny Face
164,Breakfast at Tiffany's
426,Vertigo
567,Rear Window
3078,It Happened One Night
13528,Gaslight
28288,The Gay Divorcee
213,North by Northwest
284,The Apartment
239,Some Like It Hot
4808,Charade
289,Casablanca
963,The Maltese Falcon
11113,My Fair Lady
6620,Sabrina
804,Roman Holiday
26531,The Little Princess
909,Meet Me in St. Louis
630,The Wizard of Oz
770,Gone with the Wind
31044,My Favorite Year
599,Sunset Boulevard
15,Citizen Kane
62,2001: A Space Odyssey
705,All About Eve
22490,The Women
223,Rebecca
25670,Foreign Correspondent
303,Notorious
4174,Spellbound
8356,An Affair to Remember
381,To Catch a Thief
20758,Father of the Bride
29376,The Band Wagon
1859,Ninotchka
18299,Love in the Afternoon
17281,Gigi
10907,The Adventures of Robin Hood
32093,The Mark of Zorro
1939,Laura
22292,The Ghost and Mrs. Muir
3598,Lost Horizon
3080,Top Hat
198,To Be or Not to Be
13562,My Man Godfrey
1712,Giant
220,East of Eden
3529,The Thin Man
3085,His Girl Friday
2897,Around the World in Eighty Days
1585,It's a Wonderful Life
3083,Mr. Smith Goes to Washington
900,Bringing Up Baby
43795,Penny Serenade
43905,Of Human Bondage
23114,Little Lord Fauntleroy
40206,The Inspector General
260,The 39 Steps
10331,Night of the Living Dead
488,The African Queen
22733,Beat the Devil
261,Cat on a Hot Tin Roof
32574,Meet John Doe
22649,A Farewell to Arms
125587,Nothing Personal
52855,Dangerous Ground
39940,Picnic
85328,The Pompatus of Love
11076,Fly Away Home
63945,Bliss
58985,Grace of My Heart
10861,Maximum Risk
1770,Michael Collins
2033,Infinity
18203,Big Night
9333,Last Man Standing
9400,Set It Off
9401,2 Days in the Valley
11306,Extreme Measures
9625,The Glimmer Man
10680,D3: The Mighty Ducks
6346,The Chamber
18660,The Apple Dumpling Gang
35115,"Davy Crockett, King of the Wild Frontier"
14821,Escape to Witch Mountain
14136,The Love Bug
10869,Herbie Rides Again
22660,Old Yeller
19186,The Parent Trap
31102,Pollyanna
6878,Homeward Bound: The Incredible Journey
15944,The Shaggy Dog
18444,Swiss Family Robinson
20723,That Darn Cat!
173,"20,000 Leagues Under the Sea"
864,Cool Runnings
24795,Angels in the Outfield
11224,Cinderella
81310,Winnie the Pooh and the Blustery Day
15947,The Three Caballeros
9078,The Sword in the Stone
8367,Robin Hood: Prince of Thieves
433,Mary Poppins
11360,Dumbo
11114,Pete's Dragon
12335,Bedknobs and Broomsticks
12092,Alice in Wonderland
10948,The Fox and the Hound
11229,Freeway
15121,The Sound of Music
562,Die Hard
10163,The Lawnmower Man
47199,The Secret Agent
11159,Secrets & Lies
9591,That Thing You Do!
30500,To Gillian on Her 37th Birthday
10938,Beautiful Thing
11412,The Long Kiss Goodnight
10586,The Ghost and the Darkness
42314,Looking for Richard
27845,Trees Lounge
23223,Normal Life
49471,Get on the Bus
38153,Shadow Conspiracy
25147,Jude
9716,Everyone Says I Love You
454,Romeo + Juliet
10218,Swingers
819,Sleepers
11238,Aladdin and the King of Thieves
31530,Shall We Dance
28120,Crossfire
252,Willy Wonka & the Chocolate Factory
16372,The Innocents
11561,Sleeper
11302,Bananas
623,A Fish Called Wanda
583,Life of Brian
12614,Victor/Victoria
21711,The Candidate
11575,The Great Race
475,Bonnie and Clyde
11331,The Old Man and the Sea
521,Dial M for Murder
88,Dirty Dancing
500,Reservoir Dogs
792,Platoon
8491,Weekend at Bernie's
402,Basic Instinct
10537,The Doors
11386,The Crying Game
9504,Glengarry Glen Ross
15764,Sophie's Choice
601,E.T. the Extra-Terrestrial
25842,A Christmas Carol
2119,Days of Thunder
744,Top Gun
221,Rebel Without a Cause
702,A Streetcar Named Desire
25750,Children of the Corn IV: The Gathering
9305,Microcosmos
37616,Palookaville
21612,The Funeral
102461,A Single Girl
36998,The Eighth Day
116844,Drunks
1630,The People vs. Larry Flynt
26626,Glory Daze
124837,A Perfect Candidate
11816,On Golden Pond
11843,The Return of the Pink Panther
10379,Drop Dead Fred
2756,The Abyss
790,The Fog
1103,Escape from New York
11298,The Howling
4480,Jean de Florette
4481,Manon of the Spring
10765,Private Benjamin
762,Monty Python and the Holy Grail
44497,Hustler White
99479,Entertaining Angels: The Dorothy Day Story
124829,The Line King: The Al Hirschfeld Story
10548,When We Were Kings
531,The Wrong Trousers
4483,The Return of Martin Guerre
18919,Faust
61461,The Children Are Watching Us
659,The Tin Drum
30892,The Ruling Class
86369,Mina Tannenbaum
38554,Dear God
36555,Best of the Best 3: No Turning Back
10608,Bob Roberts
11216,Cinema Paradiso
7452,"The Cook, the Thief, His Wife & Her Lover"
892,Delicatessen
1600,The Double Life of Véronique
26561,Enchanted April
975,Paths of Glory
18129,The Grifters
54405,Hear My Song
409,The English Patient
38251,Mediterraneo
10161,My Left Foot: The Story of Christy Brown
1412,"Sex, Lies, and Videotape"
41768,Passion Fish
10409,Strictly Ballroom
14285,The Thin Blue Line
2469,Tie Me Up! Tie Me Down!
10174,Madonna: Truth or Dare
31225,Paris Is Burning
510,One Flew Over the Cuckoo's Nest
11455,Up in Smoke
1891,The Empire Strikes Back
2493,The Princess Bride
85,Raiders of the Lost Ark
68,Brazil
679,Aliens
429,"The Good, the Bad and the Ugly"
13446,Withnail & I
389,12 Angry Men
947,Lawrence of Arabia
185,A Clockwork Orange
595,To Kill a Mockingbird
28,Apocalypse Now
335,Once Upon a Time in the West
1892,Return of the Jedi
144,Wings of Desire
1092,The Third Man
769,GoodFellas
348,Alien
766,Army of Darkness
175,The Big Blue
11645,Ran
10835,The Killer
539,Psycho
525,The Blues Brothers
240,The Godfather: Part II
600,Full Metal Jacket
530,A Grand Day Out
10705,Henry V
279,Amadeus
3109,The Quiet Man
311,Once Upon a Time in America
1578,Raging Bull
703,Annie Hall
9549,The Right Stuff
1398,Stalker
387,Das Boot
9277,The Sting
343,Harold and Maude
37291,Trust
490,The Seventh Seal
11235,Local Hero
218,The Terminator
763,Braindead
9665,Glory
18971,Rosencrantz & Guildenstern Are Dead
696,Manhattan
379,Miller's Crossing
207,Dead Poets Society
37247,The Graduate
1480,Touch of Evil
9322,La Femme Nikita
826,The Bridge on the River Kwai
422,8½
829,Chinatown
828,The Day the Earth Stood Still
3090,The Treasure of the Sierra Madre
9964,Bad Taste
3063,Duck Soup
13667,Better Off Dead...
694,The Shining
235,Stand by Me
832,M
765,Evil Dead II
5925,The Great Escape
11778,The Deer Hunter
4485,Diva
137,Groundhog Day
33,Unforgiven
982,The Manchurian Candidate
8428,Pump Up the Volume
212,Arsenic and Old Lace
105,Back to the Future
1633,Fried Green Tomatoes
11202,Patton
1554,Down by Law
149,Akira
8009,Highlander
903,Cool Hand Luke
11673,Cyrano de Bergerac
3034,Young Frankenstein
339,Night on Earth
10404,Raise the Red Lantern
914,The Great Dictator
756,Fantasia
288,High Noon
910,The Big Sleep
2640,Heathers
16633,Somewhere in Time
665,Ben-Hur
11031,This Is Spinal Tap
11314,Koyaanisqatsi
15143,Some Kind of Wonderful
89,Indiana Jones and the Last Crusade
10322,Being There
783,Gandhi
10644,The Unbearable Lightness of Being
11257,A Room with a View
14370,Real Genius
12104,Pink Floyd: The Wall
625,The Killing Fields
8816,My Life as a Dog
830,Forbidden Planet
2323,Field of Dreams
983,The Man Who Would Be King
642,Butch Cassidy and the Sundance Kid
655,"Paris, Texas"
10341,Until the End of the World
639,When Harry Met Sally...
30180,Hype!
41801,Female Perversions
18762,Blue Juice
8077,Alien³
814,An American Werewolf in London
41671,Amityville 1992: It's About Time
27214,Amityville 3-D
52263,Amityville: Dollhouse
33519,Amityville: A New Generation
16235,Amityville II: The Possession
11449,The Amityville Horror
41848,The Amityville Curse
25944,Blood for Dracula
24913,April Fool's Day
49126,Audrey Rose
32076,The Believers
571,The Birds
8851,The Blob
37843,Blood Beach
32146,Body Parts
30346,The Body Snatcher
6114,Bram Stoker's Dracula
229,The Bride of Frankenstein
13549,Burnt Offerings
9529,Candyman
1598,Cape Fear
11349,Cape Fear
7340,Carrie
6217,Cat People
377,A Nightmare on Elm Street
653,Nosferatu
28198,Vampire in Venice
794,The Omen
31640,Blood and Wine
8744,Albino Alligator
25189,The Mirror Has Two Faces
145,Breaking the Waves
2212,Nightwatch
199,Star Trek: First Contact
7863,Shine
12498,Sling Blade
9279,Jingle All the Way
17204,Paradise Lost: The Child Murders at Robin Hood Hills
21539,The Preacher's Wife
12709,Ridicule
20539,The Crucible
11674,101 Dalmatians
1573,Die Hard 2
152,Star Trek: The Motion Picture
174,Star Trek VI: The Undiscovered Country
172,Star Trek V: The Final Frontier
154,Star Trek II: The Wrath of Khan
157,Star Trek III: The Search for Spock
168,Star Trek IV: The Voyage Home
364,Batman Returns
11967,Young Guns
9086,Young Guns II
621,Grease
9037,Grease 2
10173,Marked for Death
8845,Under Siege
578,Jaws
579,Jaws 2
17692,Jaws 3-D
17795,My Fellow Americans
75,Mars Attacks!
13891,Citizen Ruth
9390,Jerry Maguire
378,Raising Arizona
10896,Tin Men
2322,Sneakers
41240,Bastard Out of Carolina
26949,In Love and War
9819,Marvin's Room
31908,Ghosts of Mississippi
3179,Beavis and Butt-Head Do America
1802,La Cérémonie
4232,Scream
9361,The Last of the Mohicans
2928,Michael
10549,Hamlet
58102,Some Mother's Son
18451,The Whole Wide World
27265,Mother
49935,Thieves
8818,Evita
36758,The Portrait of a Lady
36040,Walkabout
9415,Murder at 1600
55146,Hearts & Minds
12145,Fierce Creatures
42424,Zeus & Roxanne
34314,Turbulence
2892,Angel Baby
9404,First Strike
85242,Underworld
9622,Beverly Hills Ninja
8860,Metro
14832,The Cement Garden
9619,Dante's Peak
40506,Meet Wally Sparks
31000,Amos & Andrew
4104,Benny & Joon
26306,Prefontaine
14908,McHale's Navy
784,Kolya
12489,Gridlock'd
16448,Waiting for Guffman
17894,The Beautician and the Beast
28059,SubUrbia
17949,The Pest
1968,Fools Rush In
61563,Touch
66,Absolute Power
20735,That Darn Cat
11419,Vegas Vacation
638,Lost Highway
25624,Rosewood
9366,Donnie Brasco
21915,Booty Call
19952,Best Men
9446,Jungle 2 Jungle
28005,Kama Sutra: A Tale of Love
9403,Private Parts
27322,Love Jones
10003,The Saint
9311,Smilla's Sense of Snow
884,Crash
49806,The Daytrippers
1624,Liar Liar
16052,Selena
4477,The Devil's Own
24662,Cats Don't Dance
18423,B.A.P.S.
76996,Love and Other Catastrophes
6499,Turbo: A Power Rangers Movie
50512,Anna Karenina
9405,Double Team
12723,Inventing the Abbotts
9360,Anaconda
9434,Grosse Pointe Blank
21626,Kissed
13982,8 Heads in a Duffel Bag
77223,Paradise Road
9611,Romy and Michele's High School Reunion
47694,Temptress Moon
10357,Volcano
9977,Children of the Revolution
816,Austin Powers: International Man of Mystery
2163,Breakdown
124680,Broken English
12499,Fathers' Day
18,The Fifth Element
1811,Nowhere
105045,The Promise
11239,Shall We Dance?
2058,Addicted to Love
9450,Brassed Off
330,The Lost World: Jurassic Park
38523,Ponette
16375,Schizopolis
33660,Shiloh
45671,Rough Magic
17770,Trial and Error
15170,Buddy
1701,Con Air
26422,The Pillow Book
1639,Speed 2: Cruise Control
415,Batman & Robin
65889,Roseanna's Grave
11103,Head Above Water
11970,Hercules
8874,My Best Friend's Wedding
11956,When the Cat's Away
266,Contempt
754,Face/Off
37567,Fall
607,Men in Black
18080,Out to Sea
38225,Wild America
17834,A Simple Wish
686,Contact
65046,Love Serenade
4421,G.I. Jane
9387,Conan the Barbarian
10603,George of the Jungle
2142,Cop Land
8413,Event Horizon
10336,Spawn
20737,Air Bud
9413,Picture Perfect
14585,In the Company of Men
49462,Career Girls
8834,Conspiracy Theory
9458,Desperate Measures
8854,Steel
38295,She's So Lovely
22073,Hoodlum
37244,Leave It to Beaver
4961,Mimic
9416,Money Talks
26180,Excess Baggage
17832,Kull the Conqueror
9772,Air Force One
6072,One Eight Seven
1669,The Hunt for Red October
468,My Own Private Idaho
32519,"Kiss Me, Guido"
108401,Star Maps
10806,In & Out
9433,The Edge
6623,The Peacemaker
2118,L.A. Confidential
978,Seven Years in Tibet
9437,Kiss the Girls
29461,Soul Food
10351,Wishmaster
66588,A Thousand Acres
2649,The Game
14289,Fire Down Below
10155,U Turn
20457,The Matchmaker
18355,The Assignment
55306,Ulee's Gold
68924,The Ice Storm
2255,Chasing Amy
9427,The Full Monty
172545,Alive and Kicking
17589,Mrs Brown
3597,I Know What You Did Last Summer
1813,The Devil's Advocate
36797,RocketMan
12628,Playing God
33344,The House of Yes
25099,"Fast, Cheap & Out of Control"
45019,Washington Square
